headline,label
"Government launches free healthcare program","Real"
"Aliens spotted near White House says report","Fake"
"Scientists discover water on Mars","Real"
"President announces new education reforms","Real"
"Man turns into lizard after vaccine shot","Fake"
"Global markets hit by financial scandal","Real"
"New miracle diet pill melts fat overnight","Fake"
"Technology summit introduces ethical AI standards","Real"
"Time traveler reveals future events on TikTok","Fake"
"Police uncover alien base beneath supermarket","Fake"
"Medical experts release COVID-19 vaccine study","Real"
"Moon turns green for the first time in history","Fake"
"New cybersecurity law protects online users","Real"
"Zombie outbreak confirmed in remote village","Fake"
"Electric vehicles get massive tax cuts","Real"
